Image,Dominant Color (RGB)
00000_00.png,[230.15580678 225.13063327 228.65047677]
00001_00.png,[35.98782003 36.96821653 40.74939609]
00002_00.png,[20.50707639 20.59845004 22.56977716]
00003_00.png,[28.98351079 31.64038175 47.14704033]
00005_00.png,[243.98288914 245.44684605 244.48449706]
00007_00.png,[206.23309197 189.46868052 200.87684745]
00009_00.png,[22.71862961 23.97831878 23.08553654]
00010_00.png,[20.43034248 22.90817823 24.31288592]
00011_00.png,[20.950082   19.12981723 20.47515672]
00012_00.png,[19.94791235 20.98506209 22.89496016]
00014_00.png,[36.84830207 37.76288739 39.03649074]
00015_00.png,[232.17963413 232.45304905 232.34134337]
00016_00.png,[219.61601866 220.94987568 217.03642925]
00018_00.png,[40.67824645 41.24544759 43.12981489]
00019_00.png,[24.82766122 27.13340224 28.87573543]
00022_00.png,[239.16955533 235.00918114 220.36874025]
00023_00.png,[93.71648676 93.71648676 93.71648676]
00024_00.png,[81.7998259  38.79978806 37.45734615]
00025_00.png,[102.01346982 106.98324774 108.72862719]
00026_00.png,[37.7571296  45.12483473 79.19326906]
00028_00.png,[240.31238324 240.11694878 240.05297066]
00029_00.png,[35.18558178 36.07050196 37.70526684]
00030_00.png,[ 10.83960808  67.95925169 126.22380811]
00031_00.png,[217.12488611  19.41286959  38.63695796]
00032_00.png,[137.86885194  92.94773504  25.78691663]
00033_00.png,[42.03799705 55.73498578 78.31068115]
00036_00.png,[22.10145837 22.40647688 21.20698214]
00038_00.png,[25.03054919 22.32866061 28.6329277 ]
00040_00.png,[228.62266033 231.83937381 230.86497156]
00041_00.png,[244.87582061 245.28591985 244.55460309]
00042_00.png,[216.53408644 202.4320535  192.34395945]
00043_00.png,[252.05362235 235.6020761  227.40052212]
00044_00.png,[51.51993946 30.18629158 86.26083735]
00045_00.png,[222.45445048 222.82370694 222.11007598]
00046_00.png,[13.68318311 14.56048201 17.72686524]
00047_00.png,[25.94660631 26.90415112 28.56751384]
00048_00.png,[235.84350901 235.84350901 235.84350901]
00049_00.png,[30.83718006 31.80844536 33.78451421]
00050_00.png,[22.44073575 24.41413928 36.98967898]
00051_00.png,[244.68670011 244.36777206 242.38452874]
00052_00.png,[247.09472021 247.07644028 246.90302032]
00053_00.png,[31.04609278 37.08828814 48.14429598]
00054_00.png,[61.75657734 54.81415593 39.67688168]
00056_00.png,[19.24514927 19.53024267 19.37262781]
00058_00.png,[ 84.8278733   94.42140405 115.56781386]
00059_00.png,[237.03384367 169.60957888 180.08742611]
00061_00.png,[237.00322513 236.96598183 236.78541938]
00062_00.png,[27.40144159 28.26207154 31.95974151]
00065_00.png,[16.66423017 14.99714354 15.95388392]
00066_00.png,[253.05454659 137.74142902 148.37959723]
00068_00.png,[228.64257689 229.41595669 224.64157832]
00070_00.png,[205.45784118  19.29395356  36.97854521]
00072_00.png,[80.67040751 39.44392698 46.89227899]
00073_00.png,[246.88977429 247.86825083 247.32276907]
00076_00.png,[228.8997853  233.44643734 228.84292952]
00077_00.png,[34.30099751 34.30099751 34.30099751]
00078_00.png,[238.00314228 237.97755966 238.15517181]
00079_00.png,[ 43.56729733  60.60270083 134.86885806]
00080_00.png,[45.27886849 50.4446419  64.53290457]
00081_00.png,[20.34536999 20.43869297 21.4161624 ]
00082_00.png,[41.57546957 39.73041383 42.45809401]
00083_00.png,[238.9401341  245.81024576  15.59410062]
00085_00.png,[30.65308761 28.86653748 29.75541107]
00086_00.png,[241.40313162 243.51217388 240.61290974]
00087_00.png,[245.2688152  245.7544572  246.86833929]
00088_00.png,[227.78475226 227.56352305 224.00286529]
00089_00.png,[53.36027489 52.57323734 54.91942731]
00090_00.png,[25.39095237 37.46888922 76.73396085]
00091_00.png,[ 32.75943626  48.02476399 146.66701789]
00092_00.png,[242.71336586 241.38230293 241.06269933]
00093_00.png,[26.82433251 26.09859579 27.73725274]
00098_00.png,[246.69804336 246.69804336 246.69804336]
00099_00.png,[246.50076565 246.50076565 246.50076565]
00100_00.png,[33.33130038 41.00683522 67.15614455]
00101_00.png,[18.85458151 18.85458151 18.85458151]
00102_00.png,[235.29962473 235.34071308 233.25893867]
00103_00.png,[13.64352449 12.12988276 14.32013693]
00104_00.png,[245.84945925 245.85479223 245.58932954]
00105_00.png,[33.25460231 34.79150167 33.80425575]
00106_00.png,[38.73286795 37.89545066 44.3236553 ]
00107_00.png,[212.23968661  37.23967961  52.1547429 ]
00109_00.png,[235.87853207 190.04221552 191.00594179]
00111_00.png,[27.3944785  29.07396252 36.47136499]
00113_00.png,[226.57447927 220.11833707 203.13181485]
00114_00.png,[24.39448922 25.75591862 26.20421927]
00115_00.png,[245.14857476 243.12886942 235.30366202]
00117_00.png,[242.84806126 242.89269475 240.60956212]
00118_00.png,[238.45938029 237.77808595 237.49627443]
00119_00.png,[246.66460205 247.23147616 240.82874518]
00120_00.png,[234.26537997 234.26537997 234.26537997]
00122_00.png,[43.50162728 38.77243327 45.13672601]
00123_00.png,[31.20878056 21.49390781 23.19045979]
00124_00.png,[245.89973529 246.29051878 246.0546799 ]
00125_00.png,[56.47207901 77.21840169 99.21615527]
00128_00.png,[246.96924056 246.67132682 248.66287817]
00129_00.png,[242.121428    16.69476776  42.64829063]
00130_00.png,[19.04333846 20.10630692 21.02947016]
00131_00.png,[20.55619816 39.5071732  40.1245525 ]
00132_00.png,[218.13807012 172.30908214   6.5730599 ]
00133_00.png,[235.43631258 236.10561585 227.15342579]
00134_00.png,[60.4717232  60.50536383 44.86004808]
00136_00.png,[229.56636682 230.14706447 232.52146353]
00137_00.png,[237.51175924 237.51175924 237.51175924]
00139_00.png,[242.8294884  241.72715752 247.31476129]
00140_00.png,[237.9842213  239.39855238 243.08741824]
00143_00.png,[  1.50822593 133.76064775 121.16978044]
00144_00.png,[240.68603595 240.41934635 242.7845383 ]
00146_00.png,[220.62394179 219.16366788 214.10967937]
00147_00.png,[4.94724771 4.94718095 4.94716664]
00148_00.png,[202.1351765  207.81606758 202.70034309]
00149_00.png,[11.09427258 12.10574045 14.00979674]
00150_00.png,[24.7107503  32.42256858 52.52625501]
00152_00.png,[243.77154504 243.53866019 243.92934656]
00153_00.png,[21.50444897 20.45820196 16.33843284]
00154_00.png,[22.1553553  23.18846508 24.45846035]
00155_00.png,[19.26283049 26.22603963 28.86559329]
00156_00.png,[ 8.45980246  9.50217683 10.60633204]
00157_00.png,[40.35167078 37.93217835 44.50475101]
00159_00.png,[172.55512301 176.10457218 178.29883213]
00161_00.png,[103.19626732 104.45536228  89.48130841]
00162_00.png,[38.58529935 45.46604994 64.04910221]
00163_00.png,[223.91444864  20.31616035  37.69073918]
00164_00.png,[237.80025443 218.59052011 215.14456597]
