Image,Dominant Color (RGB)
18712.png,[26.30571303 31.69947952 32.08308816]
18713.png,[67.72070048 75.03450913 76.54011065]
26364.png,[195.00175918 200.79862499 200.90211018]
26372.png,[171.09600262 178.00546575 178.39108467]
27267.png,[35.94043361 36.14721255 38.5006011 ]
27903.png,[204.89167409 195.11784322 174.46934921]
27904.png,[ 98.315918   106.833325   108.26870969]
27911.png,[48.41650562 54.14979711 50.77808003]
27912.png,[52.79958871 61.38455422 60.6151569 ]
27913.png,[58.04027595 60.16587424 52.17259847]
27914.png,[60.77961485 60.3434444  52.21637308]
27915.png,[38.38422113 46.333377   45.97579787]
27916.png,[61.43003197 69.36512871 62.73769202]
27917.png,[40.73316654 37.62444724 38.01074591]
27918.png,[93.67902546 99.76811233 99.3478899 ]
27919.png,[148.09282969 126.03163055 120.06621171]
27920.png,[45.69753252 45.59300301 45.79569783]
27921.png,[201.48759381 192.50395356 169.38975119]
32404.png,[43.42710862 49.52079974 48.86845103]
32405.png,[29.33768149 29.50288824 36.07739753]
32407.png,[142.06205605 144.54776951 142.66591191]
34492.png,[56.25016273 63.80560413 61.59757044]
34493.png,[106.63643703 111.55141859 113.80522891]
34494.png,[45.23928085 50.06428441 53.0196704 ]
34495.png,[120.27200519 127.07939164 128.77524816]
34503.png,[155.13864984 160.05488213 165.63744804]
34504.png,[148.28809742 141.73558102 135.62426521]
39725.png,[68.38959113 73.74183958 74.70366692]
39731.png,[76.50770075 90.1614642  97.25992221]
39762.png,[21.80453001 21.15952431 19.93526915]
39763.png,[103.13934066 110.8898138  117.17157352]
40428.png,[227.4386499  227.86546802 228.46452841]
40432.png,[14.75630007 16.07027084 21.60071955]
43223.png,[27.75407328 26.68679617 31.82147171]
43224.png,[15.7280353  18.62458366 17.57222988]
43520.png,[36.61488756 39.43612523 49.83608253]
43521.png,[29.98808253 29.77933218 27.71874398]
43522.png,[27.65859572 27.08139303 33.01369418]
44646.png,[27.3840985  26.63508047 25.36020315]
44663.png,[36.0435061  30.24776644 27.35045597]
44664.png,[39.94273095 44.8961985  48.1825116 ]
