Image,Dominant Color (RGB)
18763.png,[246.51318573 246.73353594 250.80507895]
18880.png,[244.00506081 241.22266819 247.20370911]
18885.png,[60.67400563 67.54700252 70.02518885]
18889.png,[227.05324161 238.54085115 250.86496738]
18891.png,[182.87893617 186.12801908 194.68542959]
26366.png,[251.03583125 231.84862283 242.40501147]
27845.png,[26.45838824 26.21745796 27.60765854]
27846.png,[38.91204755 36.72239951 33.75563413]
27884.png,[199.97848708 220.35565837 243.9634424 ]
27885.png,[186.92367319 208.18181202 235.8219532 ]
27886.png,[242.39104597 225.16378974 243.54458418]
27887.png,[217.12244313 218.42169067 237.33073105]
27888.png,[227.09336044 209.44408187 222.6594391 ]
27889.png,[216.63621673 211.46292565 234.05220197]
27890.png,[84.99287643 84.7584065  82.91475759]
27891.png,[204.79128116 193.59125929 210.42657201]
27892.png,[158.37935333 155.00026564 147.1578743 ]
32389.png,[154.03007182 240.58744055 238.29369349]
32390.png,[191.65242237 179.88894251 213.88891662]
32391.png,[128.51961898 151.82606821 191.44187506]
32392.png,[194.50814389 196.61168089 203.20707693]
32393.png,[222.33459742 229.29760499 248.65223668]
32394.png,[235.55145482 224.8697507  242.29254754]
32395.png,[214.93019515 217.4716428  221.76968007]
32396.png,[226.71740428 237.67933697 249.23388463]
32397.png,[241.13760306 224.76279991 230.35990151]
32930.png,[69.96128036 69.78931419 87.81334963]
34496.png,[ 86.3308074   94.56099438 129.91516241]
34498.png,[ 98.99822986  85.57836644 109.58748547]
39726.png,[231.36746888 230.87849585 239.48445207]
39727.png,[186.37574642 201.66689465 233.80586611]
39728.png,[237.85075799 167.93629248 185.19478097]
44672.png,[232.56009382 243.21654644 252.89395277]
51444.png,[173.1451852  225.62912534 218.0657374 ]
57116.png,[242.17684239 242.16382015 242.16203455]
