Image,Dominant Color (RGB)
WOMEN-Pants-id_00001880-04_1_front.png,[216.85613639 210.24671889 198.44852034]
WOMEN-Pants-id_00001917-01_1_front.png,[235.00621621 233.02740019 233.26734276]
WOMEN-Pants-id_00001929-02_1_front.png,[39.83052228 31.11372784 24.56655486]
WOMEN-Pants-id_00001933-02_1_front.png,[201.99846863 215.58640871 225.69768323]
WOMEN-Pants-id_00001936-02_1_front.png,[203.89926676 198.51312267 216.06532239]
WOMEN-Pants-id_00001998-04_1_front.png,[26.33161943 27.01624028 24.80363264]
WOMEN-Pants-id_00001998-06_1_front.png,[226.57418157 225.9571973  225.93304016]
WOMEN-Pants-id_00001999-02_1_front.png,[77.14956146 70.41230963 41.44249728]
WOMEN-Pants-id_00002053-03_1_front.png,[20.84833285 20.29968942 18.52126575]
WOMEN-Pants-id_00002087-04_1_front.png,[ 71.03670785  74.58027102 107.62365484]
WOMEN-Pants-id_00002087-04_3_back.png,[ 71.22462103  75.23289742 109.4577639 ]
WOMEN-Pants-id_00002145-02_1_front.png,[204.35607027 110.26675827 110.9115713 ]
WOMEN-Pants-id_00002175-03_1_front.png,[40.26462769 36.11633722 35.53898086]
WOMEN-Pants-id_00002183-01_4_full.png,[231.69524555 227.11736508 227.6820083 ]
WOMEN-Pants-id_00002195-04_1_front.png,[44.74990132 42.37493604 23.29718864]
WOMEN-Pants-id_00002199-03_1_front.png,[184.81146428 183.08769978 188.87137038]
WOMEN-Pants-id_00002262-05_1_front.png,[22.68276627 20.60265166 16.02297351]
WOMEN-Pants-id_00002262-06_1_front.png,[62.55325654 49.25568235 37.40483821]
WOMEN-Pants-id_00002262-07_1_front.png,[96.33163349 12.05424262 18.56411818]
WOMEN-Pants-id_00002329-02_4_full.png,[30.03404942 24.22568627 24.07836741]
WOMEN-Pants-id_00002329-03_4_full.png,[29.5490086 23.9309067 42.4065548]
WOMEN-Pants-id_00002331-01_1_front.png,[28.66171284 25.85423918 23.69484663]
WOMEN-Pants-id_00002331-02_1_front.png,[226.26854091 216.94247954 207.60896947]
WOMEN-Pants-id_00002331-02_2_side.png,[230.69052915 222.3411999  213.9766044 ]
WOMEN-Pants-id_00002403-03_1_front.png,[37.13589465 17.44398249 22.365429  ]
WOMEN-Pants-id_00002464-01_1_front.png,[51.99519482 35.04322574 37.69159093]
WOMEN-Pants-id_00002469-03_1_front.png,[47.95430801 46.30415213 46.06832119]
WOMEN-Pants-id_00002469-04_1_front.png,[141.99118169 101.93379043  72.42773946]
WOMEN-Pants-id_00002469-05_1_front.png,[56.13942669 45.34352662 28.04904408]
WOMEN-Pants-id_00002539-03_1_front.png,[227.0695951  225.31504789 231.45454169]
WOMEN-Pants-id_00002539-04_1_front.png,[19.15056956 34.05293244 56.6935607 ]
WOMEN-Pants-id_00002650-02_1_front.png,[18.06603656 34.86275098 59.73737904]
WOMEN-Pants-id_00002688-04_4_full.png,[29.73590564 25.75171749 21.50368943]
WOMEN-Pants-id_00002688-05_4_full.png,[37.51501946 23.1892709  15.07022481]
WOMEN-Pants-id_00002688-06_4_full.png,[31.24947034 31.2841156  33.12900641]
WOMEN-Pants-id_00002691-02_1_front.png,[223.67755339 217.85886579 207.98536895]
WOMEN-Pants-id_00002691-05_1_front.png,[79.99098098 69.28250877 36.76487376]
WOMEN-Pants-id_00002691-06_1_front.png,[153.80984087  35.68372418  27.53192351]
WOMEN-Pants-id_00002691-08_1_front.png,[219.90084013  65.7716757   67.77575218]
WOMEN-Pants-id_00002691-09_1_front.png,[  6.17680483 167.39945202 173.01537273]
WOMEN-Pants-id_00002697-01_1_front.png,[124.25793743 120.72131435 118.88925528]
WOMEN-Pants-id_00002697-02_1_front.png,[51.53078696 72.42701914 93.50745567]
WOMEN-Pants-id_00002719-01_1_front.png,[68.70288421 64.16593684 65.58875789]
WOMEN-Pants-id_00002742-02_1_front.png,[120.10043581 119.94430115 128.09827901]
WOMEN-Pants-id_00002742-02_3_back.png,[143.45692439 142.9436727  150.38152684]
WOMEN-Pants-id_00002758-01_1_front.png,[73.10937437 79.49428293 91.62305883]
WOMEN-Pants-id_00002807-02_1_front.png,[46.94122773 44.97121095 47.86007294]
WOMEN-Pants-id_00002819-02_7_additional.png,[123.28783225 122.13863573 127.6699246 ]
WOMEN-Pants-id_00002907-01_1_front.png,[147.47325067 147.68727465 158.15366576]
WOMEN-Pants-id_00002920-05_1_front.png,[238.09186937 224.68117107 220.8152013 ]
WOMEN-Pants-id_00003046-02_1_front.png,[45.49758929 35.57390534 39.52415625]
WOMEN-Pants-id_00003079-01_1_front.png,[ 68.36512466  76.16103434 105.31951537]
WOMEN-Pants-id_00003086-02_1_front.png,[60.93797394 54.5589677  42.22778499]
WOMEN-Pants-id_00003096-03_1_front.png,[207.98012637 195.31557196 173.59095584]
WOMEN-Pants-id_00003096-04_1_front.png,[141.09755702 134.91736029 114.023538  ]
WOMEN-Pants-id_00003100-04_1_front.png,[20.93523299 18.64491219 15.38730033]
WOMEN-Pants-id_00003100-06_1_front.png,[148.37743281   4.84902688  18.77930028]
WOMEN-Pants-id_00003100-07_1_front.png,[180.98372129 110.83659858  12.3191242 ]
WOMEN-Pants-id_00003111-02_1_front.png,[ 94.23288069  94.46594595 110.38138431]
WOMEN-Pants-id_00003143-03_1_front.png,[237.614165   226.22909551 224.38891179]
WOMEN-Pants-id_00003144-02_2_side.png,[38.55200166 33.34562381 38.18727145]
WOMEN-Pants-id_00003176-01_1_front.png,[190.20366979 181.15575664 182.27415706]
WOMEN-Pants-id_00003202-03_4_full.png,[35.3269645  33.15986779 59.37556243]
WOMEN-Pants-id_00003202-10_1_front.png,[  2.60901078 181.40655899 221.50020133]
WOMEN-Pants-id_00003202-10_4_full.png,[ 47.01180344 170.90179862 216.18457256]
WOMEN-Pants-id_00003202-14_4_full.png,[250.56323159 125.75431777 187.58332965]
WOMEN-Pants-id_00003202-32_4_full.png,[253.01013454 240.90566573 238.99879871]
WOMEN-Pants-id_00003258-03_1_front.png,[28.44937922 24.20954406 19.44252828]
WOMEN-Pants-id_00003258-04_1_front.png,[226.70405295 215.26738526 207.36171306]
WOMEN-Pants-id_00003284-03_1_front.png,[36.19423608 12.25875954  9.91685339]
WOMEN-Pants-id_00003296-02_1_front.png,[121.26200647 119.89833076 124.71157176]
WOMEN-Pants-id_00003300-01_1_front.png,[29.56145775 34.92006277 51.13661701]
WOMEN-Pants-id_00003300-02_1_front.png,[196.67543791 197.25040346 198.77480811]
WOMEN-Pants-id_00003339-01_1_front.png,[108.73823699 106.97180597 117.88044177]
WOMEN-Pants-id_00003369-02_1_front.png,[35.6829804  31.940053   36.90565092]
WOMEN-Pants-id_00003417-01_1_front.png,[32.22402401 30.78186506 33.01669508]
WOMEN-Pants-id_00003437-05_1_front.png,[47.21399958 59.28700766 76.02618844]
WOMEN-Pants-id_00003437-06_1_front.png,[60.51614168 59.01256266 58.87746767]
WOMEN-Pants-id_00003442-02_1_front.png,[20.36027357 19.2832263  14.94138457]
WOMEN-Pants-id_00003450-02_1_front.png,[ 87.25995693 114.10787144 158.40035091]
WOMEN-Pants-id_00003515-02_1_front.png,[28.58940849 30.71866299 47.98958748]
WOMEN-Pants-id_00003515-02_2_side.png,[21.83943666 24.49072854 38.82096029]
WOMEN-Pants-id_00003515-02_7_additional.png,[24.38329618 27.72085206 43.75529292]
WOMEN-Pants-id_00003563-02_1_front.png,[67.50657088 67.48354406 68.47323755]
WOMEN-Pants-id_00003608-05_1_front.png,[33.77198693 34.20095858 39.48482476]
WOMEN-Pants-id_00003608-06_1_front.png,[54.19149201 56.66845602 65.0013848 ]
WOMEN-Pants-id_00003608-08_1_front.png,[65.93924842 36.08313134 41.83334096]
WOMEN-Pants-id_00003608-09_1_front.png,[20.36072471 57.02882738 74.19442375]
WOMEN-Pants-id_00003608-09_2_side.png,[28.05714672 56.1183077  70.14367116]
WOMEN-Pants-id_00003614-04_1_front.png,[203.62954763 187.52305728 172.08991543]
WOMEN-Pants-id_00003637-04_1_front.png,[191.48728242 166.45652504 152.33427613]
WOMEN-Pants-id_00003761-01_7_additional.png,[21.53577616 23.75097453 15.52891112]
WOMEN-Pants-id_00003829-01_1_front.png,[16.10549085 20.30294956 31.02982509]
WOMEN-Pants-id_00003829-02_1_front.png,[22.09394196 22.62736992 19.81929641]
WOMEN-Pants-id_00003831-04_2_side.png,[61.03714569 57.95615643 61.73180465]
WOMEN-Pants-id_00003894-02_1_front.png,[34.48510571 31.48669528 36.01909076]
WOMEN-Pants-id_00003911-01_1_front.png,[139.62070291 140.03059623 140.89824753]
