Image,Dominant Color (RGB)
MEN-Pants-id_00000063-02_4_full.png,[174.66778966 171.79573751 177.87000146]
MEN-Pants-id_00000114-03_1_front.png,[153.34874426 148.78970741 155.14952879]
MEN-Pants-id_00000114-06_1_front.png,[125.26352769  45.2709075   46.35001061]
MEN-Pants-id_00000114-08_1_front.png,[47.59579672 73.83051001 78.71926805]
MEN-Pants-id_00000143-02_4_full.png,[62.27264282 42.10705992 30.62830934]
MEN-Pants-id_00000143-02_7_additional.png,[56.29851496 44.21522087 36.86304983]
MEN-Pants-id_00000256-03_4_full.png,[63.02666861 55.88855634 60.05270458]
MEN-Pants-id_00000290-06_7_additional.png,[36.65162291 41.76875754 59.14378522]
MEN-Pants-id_00000470-01_1_front.png,[41.57663514 39.45713514 40.92339189]
MEN-Pants-id_00000494-01_1_front.png,[54.8143084  50.67957347 54.83289722]
MEN-Pants-id_00000494-01_2_side.png,[62.22094975 57.28860655 61.49676372]
MEN-Pants-id_00000494-04_1_front.png,[200.12119214  29.49048247  52.20996044]
MEN-Pants-id_00000494-04_7_additional.png,[206.00095338  31.41193631  54.4787015 ]
MEN-Pants-id_00000836-03_4_full.png,[50.72951124 53.52425235 69.19555458]
MEN-Pants-id_00000836-04_3_back.png,[66.59524904 45.82060524 48.7263601 ]
MEN-Pants-id_00001092-03_1_front.png,[181.58010208 179.63239887 177.14873924]
MEN-Pants-id_00001105-01_7_additional.png,[41.82434145 38.20326782 44.91471865]
MEN-Pants-id_00001207-05_4_full.png,[176.03483254 143.81254652 109.52008506]
MEN-Pants-id_00001207-06_4_full.png,[25.75345569 30.07898172 46.93628091]
MEN-Pants-id_00001207-07_4_full.png,[61.48302421 48.08603165 31.28251074]
MEN-Pants-id_00001292-01_7_additional.png,[27.32202089 25.33180559 25.58130463]
MEN-Pants-id_00001375-01_1_front.png,[111.49814748 111.26378496 114.4134641 ]
MEN-Pants-id_00001375-03_7_additional.png,[28.37230484 29.05526071 30.61438355]
MEN-Pants-id_00001468-03_7_additional.png,[202.6217818  188.85214744 167.60890899]
MEN-Pants-id_00001510-01_1_front.png,[46.28212258 41.06210473 42.64502528]
MEN-Pants-id_00001510-02_1_front.png,[56.93674738 54.76538168 74.79953097]
MEN-Pants-id_00001510-03_2_side.png,[71.23443387 68.98808138 74.44420851]
MEN-Pants-id_00001510-04_1_front.png,[82.34701536 75.39639136 59.43364043]
MEN-Pants-id_00001510-05_1_front.png,[91.41219205 41.35162412 47.77055346]
MEN-Pants-id_00001560-01_1_front.png,[54.97274454 47.94002024 47.24009659]
MEN-Pants-id_00001573-01_1_front.png,[26.0602517  25.64514945 23.66895648]
MEN-Pants-id_00001617-01_7_additional.png,[175.65559359 175.69200346 180.8222381 ]
MEN-Pants-id_00001675-01_7_additional.png,[16.63877939 17.24792077 16.77401327]
MEN-Pants-id_00001814-01_7_additional.png,[228.21449003 228.04721602 230.06292857]
MEN-Pants-id_00002006-04_7_additional.png,[149.23157076  91.52506998  51.34311042]
MEN-Pants-id_00002006-05_7_additional.png,[49.76206248 45.94961234 55.22066993]
