Image,Dominant Color (RGB)
MEN-Jackets_Vests-id_00000084-04_1_front.png,[220.86720998 220.00661709 217.71770571]
MEN-Jackets_Vests-id_00000084-04_7_additional.png,[28.25165425 27.01667614 28.76121211]
MEN-Jackets_Vests-id_00000084-05_1_front.png,[53.15236854 59.70332035 70.29677389]
MEN-Jackets_Vests-id_00000084-07_2_side.png,[36.38170184 30.16142302 33.88458902]
MEN-Jackets_Vests-id_00000084-07_3_back.png,[139.85533573   1.19805853  20.72335832]
MEN-Jackets_Vests-id_00000084-07_7_additional.png,[31.69285661 24.80214326 27.76675967]
MEN-Jackets_Vests-id_00000084-08_1_front.png,[26.54625394 25.96225594 28.77515721]
MEN-Jackets_Vests-id_00000084-08_2_side.png,[22.47328271 21.96148524 22.90200488]
MEN-Jackets_Vests-id_00000084-08_4_full.png,[28.29290379 27.53421876 30.34111739]
MEN-Jackets_Vests-id_00000094-02_2_side.png,[46.09855739 44.16871944 56.36550856]
MEN-Jackets_Vests-id_00000094-02_3_back.png,[36.75422172 35.62511789 46.8709277 ]
MEN-Jackets_Vests-id_00000094-02_7_additional.png,[46.34427923 44.39392325 56.53239373]
MEN-Jackets_Vests-id_00000094-04_1_front.png,[54.79191218 49.77327966 59.55284705]
MEN-Jackets_Vests-id_00000094-04_3_back.png,[54.64441973 49.98398502 59.94455241]
MEN-Jackets_Vests-id_00000168-01_1_front.png,[35.46164662 34.36102346 35.66107099]
MEN-Jackets_Vests-id_00000168-01_2_side.png,[31.26374503 30.52640883 30.04446809]
MEN-Jackets_Vests-id_00000168-02_1_front.png,[212.03090899  62.13869747  74.32454441]
MEN-Jackets_Vests-id_00000168-02_3_back.png,[225.78718016  67.01615478  77.32074675]
MEN-Jackets_Vests-id_00000168-03_1_front.png,[236.16096438 235.40886717 240.25183968]
MEN-Jackets_Vests-id_00000393-01_4_full.png,[36.36255596 29.48370139 30.90943961]
MEN-Jackets_Vests-id_00000393-01_7_additional.png,[24.63032722 23.2586289  24.86417766]
MEN-Jackets_Vests-id_00000653-01_1_front.png,[54.38624531 51.21999789 55.2602113 ]
MEN-Jackets_Vests-id_00000653-01_2_side.png,[54.78624274 51.49030364 55.5438858 ]
MEN-Jackets_Vests-id_00000653-01_7_additional.png,[66.02392528 62.81999502 68.98494682]
MEN-Jackets_Vests-id_00000653-02_1_front.png,[47.13622267 43.79392531 51.24795048]
MEN-Jackets_Vests-id_00000653-02_2_side.png,[47.21909571 43.90972299 52.16612861]
MEN-Jackets_Vests-id_00000653-02_3_back.png,[55.75020186 54.84066943 67.14453519]
MEN-Jackets_Vests-id_00000653-02_4_full.png,[45.03699172 41.4212006  48.10708336]
